,tweet_id,handle,retweet_count,text,mined_at,created_at
24,1529043482895175680,The Bridge,1,En el #BurnMonday🔥 de ayer se hablo mucho de #DataScience y conocimos en qué están trabajando dos alumnis del… https://t.co/hJBDEyY7fQ,2022-07-13 14:10:58.629370,Tue May 24 10:15:49 +0000 2022
25,1528735286829764608,The Bridge,3,RT @arey: #LastMinute La 2da presentación del #LibroIC en #Madrid será este jueves (18:30) en @TheBridge_Tech acompañados por Tíscar Lara (…,2022-07-13 14:10:58.629370,Mon May 23 13:51:09 +0000 2022
26,1527312943397806080,The Bridge,2,¡Qué poco queda para el próximo 🔥Burn Monday🔥! Lunes 23 de mayo a las 18h. aplicaremos la #IA en un viaje por obras… https://t.co/2i7KqBntpR,2022-07-13 14:10:58.629370,Thu May 19 15:39:16 +0000 2022
27,1526946552492789760,The Bridge,0,Esta es la historia de Isis🤗 que decidió hacer un cambio en su vida profesional haciendo el #bootcamp de #uxui. Aho… https://t.co/YC0yOw5b3o,2022-07-13 14:10:58.629370,Wed May 18 15:23:22 +0000 2022
28,1526886949839065088,The Bridge,0,Gracias @victorianoI y equipo por el análisis con @graphext de los datos en educación y tecnología que vimos ayer e… https://t.co/tGq6oXx37x,2022-07-13 14:10:58.629370,Wed May 18 11:26:31 +0000 2022
29,1526880909043056642,The Bridge,4,"RT @Bcasapp: ¿Cómo combatir el paro juvenil🥵? #tipdeldia En un país con una tasa de paro récord, hay que elegir bien dónde y qué estudiar.…",2022-07-13 14:10:58.629370,Wed May 18 11:02:31 +0000 2022
30,1526576722350686208,The Bridge,2,¿Con ganas de probar si un empleo tecnológico es para ti? Ven a los talleres del campus de #Sevilla… https://t.co/I30kKxY5N0,2022-07-13 14:10:58.629370,Tue May 17 14:53:47 +0000 2022
31,1524795347352051712,The Bridge,0,Descubre las posibilidades y misterios que oculta el #metaverso con @HavasGroupES 😎 Hablaremos de tipos de metavers… https://t.co/X78sybsFfX,2022-07-13 14:10:58.629370,Thu May 12 16:55:14 +0000 2022
32,1524738407603310594,The Bridge,1,"📻Los #bootcamps son para ""cualquier persona que quiera un empleo tecnológico de calidad"", como bien explican Inés G… https://t.co/fTf4HmUvFE",2022-07-13 14:10:58.629370,Thu May 12 13:08:59 +0000 2022
33,1524117624174653441,The Bridge,0,"👾 El caso #Pegasus, un ejemplo más de #ciberespionaje que pone en relevancia la necesidad de expertos en… https://t.co/Yyf2sQTPeS",2022-07-13 14:10:58.629370,Tue May 10 20:02:12 +0000 2022
34,1524053162323283968,The Bridge,0,¡”Let’s talk about education”! Os invitamos a la primera sesión del nuevo ciclo de conferencias sobre #educación… https://t.co/xFZBArlZJV,2022-07-13 14:10:58.629370,Tue May 10 15:46:04 +0000 2022
35,1523574457549623296,The Bridge,0,"¡Vamos con los talleres de mayo! Este mes tenemos un montón de #freeevents 👩‍💻Metaverso, OSINT, Sistemas de diseño… https://t.co/hzdgm75I9G",2022-07-13 14:10:58.629370,Mon May 09 08:03:51 +0000 2022
36,1522231140656066561,The Bridge,1,👏🚀Lanzamos una nueva edición de las #becas Digital Talent Pipeline para cursar un #bootcamp en junio y septiembre ¿… https://t.co/J6oPHqqHnI,2022-07-13 14:10:58.629370,Thu May 05 15:06:00 +0000 2022
37,1521871017714589699,The Bridge,0,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo! 

📅Viernes 20 de mayo… https://t.co/yHGpqF4Z08",2022-07-13 14:10:58.629370,Wed May 04 15:15:00 +0000 2022
